Date,Holiday Name
1/1/2018,New Year's Day
1/15/2018,"Birthday of Martin Luther King, Jr."
2/19/2018,Washington's Birthday
5/28/2018,Memorial Day
6/19/2018,Juneteenth National Independence Day
7/4/2018,Independence Day
9/3/2018,Labor Day
10/8/2018,Columbus Day
11/11/2018,Veterans Day
11/26/2018,Thanksgiving Day
12/25/2018,Christmas Day
1/1/2019,New Year's Day
1/21/2019,"Birthday of Martin Luther King, Jr."
2/18/2019,Washington's Birthday
5/27/2019,Memorial Day
6/19/2019,Juneteenth National Independence Day
7/4/2019,Independence Day
9/2/2019,Labor Day
10/14/2019,Columbus Day
11/11/2019,Veterans Day
11/25/2019,Thanksgiving Day
12/25/2019,Christmas Day
1/1/2020,New Year's Day
1/20/2020,"Birthday of Martin Luther King, Jr."
2/17/2020,Washington's Birthday
5/25/2020,Memorial Day
6/19/2020,Juneteenth National Independence Day
7/4/2020,Independence Day
9/7/2020,Labor Day
10/12/2020,Columbus Day
11/11/2020,Veterans Day
11/23/2020,Thanksgiving Day
12/25/2020,Christmas Day
1/1/2021,New Year's Day
1/18/2021,"Birthday of Martin Luther King, Jr."
2/15/2021,Washington's Birthday
5/31/2021,Memorial Day
6/19/2021,Juneteenth National Independence Day
7/4/2021,Independence Day
9/6/2021,Labor Day
10/11/2021,Columbus Day
11/11/2021,Veterans Day
11/22/2021,Thanksgiving Day
12/25/2021,Christmas Day
1/17/2022,"Birthday of Martin Luther King, Jr."
2/21/2022,Washington's Birthday
5/30/2022,Memorial Day
6/19/2022,Juneteenth National Independence Day
7/4/2022,Independence Day
9/5/2022,Labor Day
10/10/2022,Columbus Day
11/11/2022,Veterans Day
11/28/2022,Thanksgiving Day
12/25/2022,Christmas Day
1/1/2023,New Year's Day
1/16/2023,"Birthday of Martin Luther King, Jr."
2/20/2023,Washington's Birthday
5/29/2023,Memorial Day
6/19/2023,Juneteenth National Independence Day
7/4/2023,Independence Day
9/4/2023,Labor Day
10/9/2023,Columbus Day
11/11/2023,Veterans Day
11/27/2023,Thanksgiving Day
12/25/2023,Christmas Day
